Class,Retweets,Favorites,New_Feature
1,43,138,0
1,14,95,2
1,50,92,0
1,61,84,1
1,37,80,1
1,3,80,0
1,45,79,0
1,17,79,0
1,12,79,2
1,5,79,0
1,21,78,0
1,13,78,0
1,7,78,0
1,48,77,0
1,27,77,1
1,21,77,0
1,12,77,0
1,55,76,1
1,27,76,0
1,24,76,0
1,22,76,1
1,13,76,0
1,9,76,2
1,75,75,0
1,60,75,0
1,55,75,0
1,39,75,0
1,12,75,0
1,10,75,0
1,9,75,0
1,72,74,0
1,57,74,0
1,49,74,1
1,42,74,1
1,33,74,0
1,58,73,0
1,37,73,0
1,29,73,0
1,68,72,0
1,55,72,0
1,54,72,0
1,39,72,0
1,25,72,0
1,13,72,0
1,68,71,0
1,36,71,1
1,32,71,0
1,24,71,0
1,21,71,0
1,21,71,1
1,15,71,0
1,5,71,0
1,4,71,1
1,56,70,0
1,36,70,0
1,32,70,0
1,30,70,0
1,17,70,1
1,7,70,0
1,54,69,0
1,52,69,2
1,46,69,0
1,40,69,1
1,15,69,0
1,10,69,0
1,2,69,0
1,69,68,0
1,66,68,0
1,26,68,3
1,15,68,0
1,9,68,0
1,8,68,0
1,47,67,0
1,32,67,1
1,27,67,0
1,21,67,0
1,17,67,0
1,12,67,1
1,72,66,3
1,50,66,1
1,33,66,0
1,27,66,0
1,22,66,0
1,12,66,0
1,1,66,0
1,73,65,0
1,53,65,0
1,46,65,1
1,44,65,0
1,41,65,0
1,31,65,0
1,28,65,0
1,22,65,3
1,15,65,1
1,14,65,1
1,13,65,0
1,66,64,0
1,41,64,0
1,35,64,0
1,28,64,1
1,7,64,0
1,6,64,0
1,5,64,0
1,57,63,0
1,38,63,2
1,31,63,1
1,26,63,0
1,21,63,0
1,17,63,1
1,16,63,0
1,51,62,0
1,75,61,0
1,59,61,0
1,55,61,0
1,29,61,0
1,7,61,0
1,3,61,1
1,76,60,1
1,50,60,1
1,49,60,1
1,48,60,2
1,41,60,0
1,22,60,1
1,17,60,0
1,48,59,0
1,31,59,0
1,17,59,0
1,51,58,0
1,47,58,0
1,40,58,0
1,11,58,1
1,2,58,0
1,1,58,0
1,52,57,0
1,32,57,0
1,27,57,1
1,26,57,0
1,23,57,0
1,16,57,0
1,1,57,0
1,37,56,0
1,29,56,0
1,7,56,0
1,72,55,1
1,32,55,0
1,17,55,0
1,9,55,0
1,4,55,2
1,3,55,0
1,1,55,0
1,63,54,0
1,50,54,0
