Favorites,Retweets,Class,New_Feature
138,43,1,0
95,14,1,2
92,50,1,0
84,61,1,1
80,37,1,1
80,3,1,0
79,45,1,0
79,17,1,0
79,12,1,2
79,5,1,0
78,21,1,0
78,13,1,0
78,7,1,0
77,48,1,0
77,27,1,1
77,21,1,0
77,12,1,0
76,55,1,1
76,27,1,0
76,24,1,0
76,22,1,1
76,13,1,0
76,9,1,2
75,75,1,0
75,60,1,0
75,55,1,0
75,39,1,0
75,12,1,0
75,10,1,0
75,9,1,0
74,72,1,0
74,57,1,0
74,49,1,1
74,42,1,1
74,33,1,0
73,58,1,0
73,37,1,0
73,29,1,0
72,68,1,0
72,55,1,0
72,54,1,0
72,39,1,0
72,25,1,0
72,13,1,0
71,68,1,0
71,36,1,1
71,32,1,0
71,24,1,0
71,21,1,0
71,21,1,1
71,15,1,0
71,5,1,0
71,4,1,1
70,56,1,0
70,36,1,0
70,32,1,0
70,30,1,0
70,17,1,1
70,7,1,0
69,54,1,0
69,52,1,2
69,46,1,0
69,40,1,1
69,15,1,0
69,10,1,0
69,2,1,0
68,69,1,0
68,66,1,0
68,26,1,3
68,15,1,0
68,9,1,0
68,8,1,0
67,47,1,0
67,32,1,1
67,27,1,0
67,21,1,0
67,17,1,0
67,12,1,1
66,72,1,3
66,50,1,1
66,33,1,0
66,27,1,0
66,22,1,0
66,12,1,0
66,1,1,0
65,73,1,0
65,53,1,0
65,46,1,1
65,44,1,0
65,41,1,0
65,31,1,0
65,28,1,0
65,22,1,3
65,15,1,1
65,14,1,1
65,13,1,0
64,66,1,0
64,41,1,0
64,35,1,0
64,28,1,1
64,7,1,0
64,6,1,0
64,5,1,0
63,57,1,0
63,38,1,2
63,31,1,1
63,26,1,0
63,21,1,0
63,17,1,1
63,16,1,0
62,51,1,0
61,75,1,0
61,59,1,0
61,55,1,0
61,29,1,0
61,7,1,0
61,3,1,1
60,76,1,1
60,50,1,1
60,49,1,1
60,48,1,2
60,41,1,0
60,22,1,1
60,17,1,0
59,48,1,0
59,31,1,0
59,17,1,0
58,51,1,0
58,47,1,0
58,40,1,0
58,11,1,1
58,2,1,0
58,1,1,0
57,52,1,0
57,32,1,0
57,27,1,1
57,26,1,0
57,23,1,0
57,16,1,0
57,1,1,0
56,37,1,0
56,29,1,0
56,7,1,0
55,72,1,1
55,32,1,0
55,17,1,0
55,9,1,0
55,4,1,2
55,3,1,0
55,1,1,0
54,63,1,0
54,50,1,0
54,47,1,0
54,47,1,0
54,46,1,0
54,21,1,0
54,19,1,1
54,6,1,0
53,60,1,0
53,60,1,0
53,52,1,0
53,32,1,0
53,21,1,0
53,19,1,0
53,11,1,0
52,65,1,0
52,58,1,0
52,54,1,0
52,53,1,0
52,52,1,0
52,44,1,0
52,29,1,1
52,28,1,1
52,22,1,0
52,19,1,0
52,17,1,0
52,16,1,0
51,51,1,0
51,37,1,3
51,26,1,0
51,4,1,0
50,77,1,0
50,77,1,0
50,75,1,1
50,74,1,0
50,64,1,0
50,58,1,0
50,57,1,0
50,56,1,0
50,54,1,0
50,52,1,1
50,50,1,0
50,49,1,2
50,46,1,1
50,45,1,0
50,45,1,0
50,39,1,0
50,39,1,0
50,39,1,0
50,38,1,1
50,38,1,0
50,37,1,0
50,36,1,1
50,33,1,0
50,32,1,0
50,32,1,0
50,31,1,0
50,29,1,0
50,28,1,0
50,28,1,0
50,25,1,0
50,24,1,0
50,22,1,0
50,22,1,0
50,21,1,2
50,21,1,2
50,20,1,0
50,19,1,0
50,18,1,0
50,18,1,0
50,17,1,1
50,17,1,1
50,16,1,5
50,14,1,0
50,14,1,1
50,13,1,1
50,4,1,0
50,2,1,0
50,1,1,0
50,0,1,3
50,0,1,0
50,0,1,0
50,0,1,0
50,0,1,0
50,0,1,0
49,73,1,0
49,67,1,0
49,66,1,1
49,62,1,0
49,60,1,0
49,59,1,1
49,58,1,1
49,55,1,1
49,51,1,0
49,50,1,0
49,48,1,1
49,47,1,1
49,46,1,0
49,45,1,0
49,45,1,0
49,43,1,0
49,43,1,0
49,43,1,0
49,43,1,0
49,40,1,0
49,37,1,1
49,28,1,0
49,27,1,1
49,26,1,0
49,25,1,0
49,23,1,0
49,20,1,0
49,18,1,1
49,15,1,0
49,15,1,1
49,15,1,0
49,14,1,0
49,13,1,0
49,13,1,3
49,11,1,0
49,10,1,0
49,10,1,0
49,10,1,0
49,9,1,1
49,8,1,0
49,6,1,0
49,6,1,0
49,6,1,0
49,5,1,0
49,5,1,1
49,4,1,3
49,4,1,0
49,2,1,0
49,0,1,0
49,0,1,0
49,0,1,0
49,0,1,0
49,0,1,0
49,0,1,0
48,72,1,0
48,68,1,0
48,65,1,0
48,64,1,0
48,62,1,0
48,58,1,1
48,54,1,0
48,53,1,2
48,53,1,0
48,53,1,0
48,50,1,0
48,49,1,0
48,48,1,0
48,46,1,0
48,45,1,0
48,44,1,1
48,43,1,0
48,42,1,0
48,41,1,0
48,41,1,3
48,41,1,0
48,41,1,0
48,40,1,0
48,40,1,1
48,40,1,1
48,39,1,1
48,37,1,1
48,35,1,0
48,32,1,1
48,29,1,1
48,29,1,0
48,25,1,3
48,24,1,0
48,23,1,0
48,22,1,0
48,19,1,2
48,18,1,0
48,17,1,0
48,16,1,1
48,16,1,0
48,14,1,0
48,14,1,0
48,13,1,2
48,9,1,0
48,6,1,1
48,1,1,0
48,0,1,0
48,0,1,4
48,0,1,0
48,0,1,0
48,0,1,0
47,79,1,0
47,72,1,0
47,70,1,0
47,64,1,0
47,63,1,0
47,59,1,0
47,56,1,4
47,56,1,1
47,53,1,0
47,47,1,0
47,47,1,1
47,46,1,1
47,46,1,0
47,45,1,0
47,43,1,9
47,43,1,0
47,42,1,0
47,38,1,0
47,38,1,6
47,32,1,0
47,32,1,1
47,32,1,0
47,27,1,0
47,26,1,3
47,26,1,0
47,25,1,0
47,24,1,0
47,23,1,0
47,23,1,0
47,19,1,0
47,18,1,0
47,18,1,0
47,17,1,0
47,13,1,4
47,13,1,0
47,11,1,1
47,10,1,0
47,10,1,0
47,7,1,1
47,5,1,0
47,4,1,0
47,2,1,2
47,0,1,0
47,0,1,0
47,0,1,0
47,0,1,0
47,0,1,0
46,78,1,0
46,77,1,0
46,76,1,0
46,74,1,0
46,74,1,1
46,67,1,0
46,65,1,0
46,64,1,0
46,63,1,0
46,58,1,0
46,57,1,0
46,56,1,0
46,55,1,0
46,55,1,0
46,53,1,0
46,48,1,0
46,48,1,0
46,46,1,1
46,46,1,0
46,46,1,0
46,42,1,1
46,41,1,0
46,40,1,0
46,36,1,0
46,36,1,0
46,34,1,0
46,33,1,0
46,32,1,1
46,29,1,0
46,28,1,0
46,26,1,1
46,23,1,0
46,18,1,0
46,18,1,0
46,16,1,0
46,16,1,0
46,15,1,0
46,15,1,0
46,12,1,0
